Proband_id,Mother_Count,Father_count
100770,12,72
101199,16,70
101332,30,55
102060,8,53
102313,28,55
102727,14,77
103818,17,45
104333,15,46
104502,11,57
104596,12,42
104665,18,42
105754,11,67
105768,18,43
105780,15,64
106024,8,39
106140,12,53
106703,4,34
10676,17,42
107187,15,50
107328,8,77
108593,6,50
108663,14,40
109047,13,45
109291,13,58
109382,7,35
109551,8,45
109597,15,67
1097,12,26
110516,28,59
110669,8,53
110795,11,58
110977,22,67
11120,14,68
111214,12,46
111288,21,93
111528,15,43
111782,9,38
112236,14,65
112510,16,55
112917,32,76
113149,7,38
113248,16,43
113829,3,41
114042,13,28
114094,22,98
114111,14,61
114170,14,78
114364,13,56
114509,12,64
114950,7,53
115094,6,34
115299,10,63
116078,9,46
116498,8,50
116651,14,47
116676,8,40
117135,11,57
117154,10,53
117473,18,52
117628,4,40
119265,14,42
119476,6,52
119700,15,44
119719,17,67
119874,9,39
120117,13,34
120192,13,50
120516,25,54
120711,13,51
121087,1,36
121115,10,64
121496,11,47
121649,12,34
121650,13,37
122411,10,49
122976,14,42
1230,12,42
123466,4,46
123888,10,53
124112,13,43
124437,10,33
124800,12,60
124887,6,65
125046,24,38
126045,26,68
12646,15,65
127416,10,46
127678,12,38
128158,8,54
128636,8,62
129752,15,57
129865,13,51
130319,10,63
130437,14,54
130461,8,37
130614,3,43
130728,11,45
130739,10,44
130799,8,50
130811,11,38
131854,7,48
13191,31,78
132315,6,41
132388,10,43
132716,13,41
133117,19,39
133493,8,40
134433,14,70
134503,11,53
134690,14,54
134903,17,54
13542,8,59
135450,13,40
135652,12,63
136092,10,58
136238,8,57
136354,12,49
137081,10,59
137443,14,83
137878,4,42
138408,19,56
13841,4,38
139342,16,41
139512,11,48
139667,15,57
13990,7,25
141153,9,65
141173,18,54
141237,24,64
141345,16,61
141468,14,48
141502,18,38
141749,18,41
141757,10,52
142033,19,84
142096,11,55
142888,20,54
142988,29,69
143069,9,47
143074,19,62
143440,16,38
144769,13,49
14522,12,45
145908,14,59
145973,8,34
146353,16,75
146476,13,54
148052,8,51
1481,14,53
148163,8,56
148486,12,45
148940,14,39
149434,11,59
14991,28,42
150946,18,66
151566,18,58
151909,8,35
15247,11,61
153094,16,83
153657,8,41
154565,14,61
154621,11,39
154810,14,55
154936,16,36
15660,12,79
15690,11,46
15789,13,32
16872,11,42
17885,11,37
17904,18,60
1806,11,61
18230,24,53
18689,12,50
19715,9,40
20240,22,78
20287,16,38
20532,11,52
20544,18,61
21286,21,64
21720,8,32
21762,11,50
22442,12,45
2280,9,63
22818,21,86
22968,6,47
22996,7,35
23060,7,42
23077,7,38
23731,19,53
23930,9,62
24034,20,53
24108,8,43
24464,7,66
24771,12,40
25400,8,64
26268,11,49
26568,8,46
26618,16,68
26864,4,46
27281,6,36
27915,15,55
28795,17,53
29195,21,59
29374,12,56
29485,13,41
29678,11,27
29874,28,74
30366,17,77
30371,15,53
30554,13,58
31830,7,47
3190,11,40
31985,12,41
3212,7,43
32514,26,74
33711,14,44
33816,16,40
34136,11,60
34291,21,58
34318,9,47
3450,11,42
34697,14,36
34744,13,47
35417,12,30
35452,9,43
35505,16,84
35677,18,56
3578,5,36
36080,17,47
36195,6,44
36430,16,25
36485,7,44
36736,11,44
37122,6,69
3723,9,61
37653,15,54
37654,13,33
37789,3,17
39503,12,73
39729,15,32
40768,10,69
40908,22,47
40959,8,62
4131,17,39
44178,7,54
44982,12,72
45739,10,49
45976,14,44
46025,11,40
46411,18,40
46877,6,36
47320,9,44
47492,13,68
48073,8,63
48340,8,51
49333,13,55
49640,10,46
50034,26,53
50375,9,32
50382,13,41
5116,9,50
51962,14,40
52549,14,42
52666,12,34
53186,10,81
5410,16,52
54383,10,62
54593,10,67
5494,9,53
54944,12,46
5512,9,41
55279,11,44
55462,18,82
55513,18,49
56354,15,46
57204,9,45
57278,22,72
57717,19,66
57832,12,56
58242,17,55
59148,14,30
59380,14,58
59382,12,38
59395,8,44
59446,9,52
59721,11,29
60473,14,59
60643,13,60
6160,7,59
61600,16,49
61747,14,38
62121,20,79
62377,16,40
62630,5,28
62905,11,38
63768,14,60
64166,16,88
64325,24,65
64417,5,35
64744,9,47
65142,16,67
65385,12,57
66084,12,48
66987,14,62
67028,7,31
67245,11,29
675,19,51
6865,13,55
7017,11,65
70264,6,38
70509,16,44
70975,21,61
71609,10,52
71735,7,52
71851,13,54
72365,9,58
72669,11,45
74320,19,70
74349,12,53
76145,11,44
76323,13,77
76504,5,27
77835,11,50
78192,16,69
78500,10,54
78675,9,47
79155,10,46
79709,6,72
79866,8,57
80108,7,44
80405,12,52
80577,13,50
80905,14,75
81371,11,55
8147,27,78
8185,10,66
82362,12,49
83148,17,76
83165,13,66
83256,12,30
83335,9,51
83353,15,34
83632,12,49
83989,20,41
84228,20,51
84490,14,47
84737,18,58
84749,19,61
85117,14,62
85432,14,57
86349,8,59
86822,5,53
86863,21,61
86868,7,43
87089,21,64
87422,14,61
88246,25,87
89833,17,65
90450,14,55
91198,6,55
91258,23,64
91410,10,111
91585,12,43
91606,9,37
9165,10,52
91671,12,49
92192,14,68
92501,14,49
92812,18,80
93058,13,57
93086,4,43
93229,12,45
93758,12,42
94024,11,43
94281,11,50
94946,14,51
96106,9,33
96471,8,52
96520,11,42
96717,19,34
9737,20,69
97566,10,39
97789,13,39
98228,10,67
98306,11,45
98572,15,71
98860,10,47
99197,10,38
99379,8,38
99383,9,44
99703,11,43
99731,10,49
9975,9,47
99776,10,66
99872,11,52
99984,12,91
